Date,Adj Close,Close,High,Low,Open,Volume
2004-09-29,19.66771697998047,19.66771697998047,49.9900016784668,49.84000015258789,49.849998474121094,205800
2004-09-30,19.825536727905273,19.825536727905273,50.33000183105469,49.9900016784668,50.0,27900
2004-10-01,20.19246482849121,20.19246482849121,51.25,50.25,50.349998474121094,129800
2004-10-04,20.279260635375977,20.279260635375977,51.54999923706055,51.38999938964844,51.38999938964844,8100
2004-10-05,20.27531623840332,20.27531623840332,51.5,51.349998474121094,51.400001525878906,11900
2004-10-06,20.369998931884766,20.369998931884766,51.630001068115234,51.4900016784668,51.5,9300
2004-10-07,20.16089630126953,20.16089630126953,51.650001525878906,51.099998474121094,51.650001525878906,7900
2004-10-08,20.259532928466797,20.259532928466797,51.56999969482422,51.25,51.56999969482422,16400
2004-10-11,20.180618286132812,20.180618286132812,51.5,51.099998474121094,51.5,4500
2004-10-12,20.24769401550293,20.24769401550293,51.31999969482422,51.0,51.20000076293945,3600
2004-10-13,20.298980712890625,20.298980712890625,51.58000183105469,51.45000076293945,51.54999923706055,2500
2004-10-14,20.456798553466797,20.456798553466797,51.86000061035156,51.45000076293945,51.45000076293945,19200
2004-10-15,20.66590118408203,20.66590118408203,52.380001068115234,52.08000183105469,52.099998474121094,9800
2004-10-18,20.7763671875,20.7763671875,52.79999923706055,52.290000915527344,52.349998474121094,4000
2004-10-19,20.66590118408203,20.66590118408203,53.0,52.380001068115234,52.79999923706055,6200
2004-10-20,20.567272186279297,20.567272186279297,52.29999923706055,51.63999938964844,52.29999923706055,5500
2004-10-21,20.7763671875,20.7763671875,52.65999984741211,52.029998779296875,52.029998779296875,7400
2004-10-22,20.61066246032715,20.61066246032715,52.900001525878906,52.2400016784668,52.650001525878906,69900
2004-10-25,20.512041091918945,20.512041091918945,52.20000076293945,51.810001373291016,52.20000076293945,14000
2004-10-26,20.705364227294922,20.705364227294922,52.47999954223633,52.02000045776367,52.130001068115234,9000
2004-10-27,20.949970245361328,20.949970245361328,53.099998474121094,52.7400016784668,52.86000061035156,9100
2004-10-28,20.961809158325195,20.961809158325195,53.25,52.970001220703125,53.0099983215332,12800
2004-10-29,20.949970245361328,20.949970245361328,53.43000030517578,52.97999954223633,53.43000030517578,50200
2004-11-01,21.155132293701172,21.155132293701172,53.619998931884766,53.18000030517578,53.20000076293945,5400
2004-11-02,20.949970245361328,20.949970245361328,53.720001220703125,53.099998474121094,53.720001220703125,14100
2004-11-03,21.163022994995117,21.163022994995117,53.88999938964844,53.560001373291016,53.88999938964844,12800
2004-11-04,21.48259925842285,21.48259925842285,54.45000076293945,53.599998474121094,53.599998474121094,5200
2004-11-05,20.902633666992188,20.902633666992188,54.290000915527344,52.900001525878906,54.290000915527344,51900
2004-11-08,20.957860946655273,20.957860946655273,53.209999084472656,52.88999938964844,53.150001525878906,31600
2004-11-09,21.036775588989258,21.036775588989258,53.31999969482422,53.040000915527344,53.130001068115234,22300
2004-11-10,21.18669891357422,21.18669891357422,53.84000015258789,53.2599983215332,53.400001525878906,13600
2004-11-11,21.360294342041016,21.360294342041016,54.13999938964844,53.70000076293945,53.72999954223633,13600
2004-11-12,21.778505325317383,21.778505325317383,55.20000076293945,54.189998626708984,54.27000045776367,14900
2004-11-15,22.05467987060547,22.05467987060547,55.959999084472656,55.45000076293945,55.529998779296875,39900
2004-11-16,21.92053985595703,21.92053985595703,56.220001220703125,55.560001373291016,56.220001220703125,26000
2004-11-17,21.41158103942871,21.41158103942871,55.79999923706055,54.08000183105469,55.75,21500
2004-11-18,21.376079559326172,21.376079559326172,54.790000915527344,53.72999954223633,54.790000915527344,80200
2004-11-19,21.155132293701172,21.155132293701172,54.439998626708984,53.619998931884766,54.27000045776367,74800
2004-11-22,21.301116943359375,21.301116943359375,54.02000045776367,53.5,53.84000015258789,84200
